Temperature,Cross_Region,Cross_Female,Cross,Female_Genotype,Mother_Population,Father_Population,Female_ID,Male_Genotype,Male_ID,Pollen_Viable,Flower_ID,Seed_Set
9,CCXCC,Conspecific,Conspecific,CC,SN,RZ,CC09A,CC,CC2,1,CC09AXCC2_1,49
9,CCXCC,Conspecific,Conspecific,CC,SN,RZ,CC09A,CC,CC2,1,CC09AXCC2_5,48
9,CCXCC,Conspecific,Conspecific,CC,SN,RZ,CC09A,CC,CC1,0.90682496,CC09AXCC1_4,47
9,CCXCC,Conspecific,Conspecific,CC,SN,RZ,CC09A,CC,CC1,0.90682496,CC09AXCC1_6,47
9,CCXCC,Conspecific,Conspecific,CC,SN,RZ,CC09A,CC,CC1,0.90682496,CC09AXCC1_3,47
9,CCXCC,Conspecific,Conspecific,CC,SN,RZ,CC09A,CC,CC2,1,CC09AXCC2_2,46
9,CCXCC,Conspecific,Conspecific,CC,SN,RZ,CC09A,CC,CC1,0.90682496,CC09AXCC1_5,45
9,CCXCC,Conspecific,Conspecific,CC,SN,RZ,CC09A,CC,CC2,1,CC09AXCC2_3,43
9,CCXCC,Conspecific,Conspecific,CC,SN,RZ,CC09A,CC,CC2,1,CC09AXCC2_4,43
9,CCXCC,Conspecific,Conspecific,CC,SN,RZ,CC09A,CC,CC1,0.90682496,CC09AXCC1_1,42
9,CCXCC,Conspecific,Conspecific,CC,SN,RZ,CC09A,CC,CC2,1,CC09AXCC2_6,40
9,CCXCC,Conspecific,Conspecific,CC,SN,RZ,CC09A,CC,CC1,0.90682496,CC09AXCC1_2,35
9,CCXPP,Conspecific,Heterospecific,CC,SN,RZ,CC09A,CC,PP1,1,CC09AXPP1_3,5
9,CCXPP,Conspecific,Heterospecific,CC,SN,RZ,CC09A,CC,PP2,1,CC09AXPP2_1,4
9,CCXPP,Conspecific,Heterospecific,CC,SN,RZ,CC09A,CC,PP1,1,CC09AXPP1_6,3
9,CCXPP,Conspecific,Heterospecific,CC,SN,RZ,CC09A,CC,PP1,1,CC09AXPP1_2,2
9,CCXPP,Conspecific,Heterospecific,CC,SN,RZ,CC09A,CC,PP2,1,CC09AXPP2_5,2
9,CCXPP,Conspecific,Heterospecific,CC,SN,RZ,CC09A,CC,PP1,1,CC09AXPP1_4,1
9,CCXPP,Conspecific,Heterospecific,CC,SN,RZ,CC09A,CC,PP2,1,CC09AXPP2_3,1
9,CCXPP,Conspecific,Heterospecific,CC,SN,RZ,CC09A,CC,PP2,1,CC09AXPP2_6,1
9,CCXPP,Conspecific,Heterospecific,CC,SN,RZ,CC09A,CC,PP2,1,CC09AXPP2_2,0
9,CCXPP,Conspecific,Heterospecific,CC,SN,RZ,CC09A,CC,PP2,1,CC09AXPP2_4,0
9,CCXPP,Conspecific,Heterospecific,CC,SN,RZ,CC09A,CC,PP1,1,CC09AXPP1_1,0
9,CCXPP,Conspecific,Heterospecific,CC,SN,RZ,CC09A,CC,PP1,1,CC09AXPP1_5,0
9,CCXCC,Conspecific,Conspecific,CC,SN,SN,CC09B,CC,CC1,0.90682496,CC09BXCC1_2,55
9,CCXCC,Conspecific,Conspecific,CC,SN,SN,CC09B,CC,CC1,0.90682496,CC09BXCC1_6,53
9,CCXCC,Conspecific,Conspecific,CC,SN,SN,CC09B,CC,CC2,1,CC09BXCC2_5,51
9,CCXCC,Conspecific,Conspecific,CC,SN,SN,CC09B,CC,CC2,1,CC09BXCC2_3,51
9,CCXCC,Conspecific,Conspecific,CC,SN,SN,CC09B,CC,CC1,0.90682496,CC09BXCC1_3,49
9,CCXCC,Conspecific,Conspecific,CC,SN,SN,CC09B,CC,CC2,1,CC09BXCC2_1,47
9,CCXCC,Conspecific,Conspecific,CC,SN,SN,CC09B,CC,CC1,0.90682496,CC09BXCC1_4,45
9,CCXCC,Conspecific,Conspecific,CC,SN,SN,CC09B,CC,CC2,1,CC09BXCC2_6,45
9,CCXCC,Conspecific,Conspecific,CC,SN,SN,CC09B,CC,CC1,0.90682496,CC09BXCC1_5,44
9,CCXCC,Conspecific,Conspecific,CC,SN,SN,CC09B,CC,CC2,1,CC09BXCC2_2,43
9,CCXCC,Conspecific,Conspecific,CC,SN,SN,CC09B,CC,CC1,0.90682496,CC09BXCC1_1,40
9,CCXCC,Conspecific,Conspecific,CC,SN,SN,CC09B,CC,CC2,1,CC09BXCC2_4,40
9,CCXPP,Conspecific,Heterospecific,CC,SN,SN,CC09B,CC,PP1,1,CC09BXPP1_1,3
9,CCXPP,Conspecific,Heterospecific,CC,SN,SN,CC09B,CC,PP1,1,CC09BXPP1_2,3
9,CCXPP,Conspecific,Heterospecific,CC,SN,SN,CC09B,CC,PP2,1,CC09BXPP2_5,3
9,CCXPP,Conspecific,Heterospecific,CC,SN,SN,CC09B,CC,PP1,1,CC09BXPP1_4,3
9,CCXPP,Conspecific,Heterospecific,CC,SN,SN,CC09B,CC,PP2,1,CC09BXPP2_1,2
9,CCXPP,Conspecific,Heterospecific,CC,SN,SN,CC09B,CC,PP2,1,CC09BXPP2_6,1
9,CCXPP,Conspecific,Heterospecific,CC,SN,SN,CC09B,CC,PP2,1,CC09BXPP2_2,1
9,CCXPP,Conspecific,Heterospecific,CC,SN,SN,CC09B,CC,PP2,1,CC09BXPP2_4,0
9,CCXPP,Conspecific,Heterospecific,CC,SN,SN,CC09B,CC,PP1,1,CC09BXPP1_5,0
9,CCXPP,Conspecific,Heterospecific,CC,SN,SN,CC09B,CC,PP1,1,CC09BXPP1_3,0
9,CCXPP,Conspecific,Heterospecific,CC,SN,SN,CC09B,CC,PP1,1,CC09BXPP1_6,0
9,CCXPP,Conspecific,Heterospecific,CC,SN,SN,CC09B,CC,PP2,1,CC09BXPP2_3,0
9,PPXCC,Conspecific,Heterospecific,PP,KZ,KZ,PP09A,CC,CC1,0.90682496,PP09AXCC1_3,31
9,PPXCC,Conspecific,Heterospecific,PP,KZ,KZ,PP09A,CC,CC2,1,PP09AXCC2_2,30
9,PPXCC,Conspecific,Heterospecific,PP,KZ,KZ,PP09A,CC,CC2,1,PP09AXCC2_4,29
9,PPXCC,Conspecific,Heterospecific,PP,KZ,KZ,PP09A,CC,CC1,0.90682496,PP09AXCC1_5,27
9,PPXCC,Conspecific,Heterospecific,PP,KZ,KZ,PP09A,CC,CC2,1,PP09AXCC2_1,27
9,PPXCC,Conspecific,Heterospecific,PP,KZ,KZ,PP09A,CC,CC1,0.90682496,PP09AXCC1_2,26
9,PPXCC,Conspecific,Heterospecific,PP,KZ,KZ,PP09A,CC,CC2,1,PP09AXCC2_3,26
9,PPXCC,Conspecific,Heterospecific,PP,KZ,KZ,PP09A,CC,CC1,0.90682496,PP09AXCC1_4,25
9,PPXCC,Conspecific,Heterospecific,PP,KZ,KZ,PP09A,CC,CC2,1,PP09AXCC2_5,23
9,PPXCC,Conspecific,Heterospecific,PP,KZ,KZ,PP09A,CC,CC1,0.90682496,PP09AXCC1_6,19
9,PPXCC,Conspecific,Heterospecific,PP,KZ,KZ,PP09A,CC,CC1,0.90682496,PP09AXCC1_1,15
9,PPXCC,Conspecific,Heterospecific,PP,KZ,KZ,PP09A,CC,CC2,1,PP09AXCC2_6,13
9,PPXPP,Conspecific,Conspecific,PP,KZ,KZ,PP09A,CC,PP1,1,PP09AXPP1_6,35
9,PPXPP,Conspecific,Conspecific,PP,KZ,KZ,PP09A,CC,PP2,1,PP09AXPP2_5,35
9,PPXPP,Conspecific,Conspecific,PP,KZ,KZ,PP09A,CC,PP1,1,PP09AXPP1_2,33
9,PPXPP,Conspecific,Conspecific,PP,KZ,KZ,PP09A,CC,PP1,1,PP09AXPP1_1,31
9,PPXPP,Conspecific,Conspecific,PP,KZ,KZ,PP09A,CC,PP1,1,PP09AXPP1_3,29
9,PPXPP,Conspecific,Conspecific,PP,KZ,KZ,PP09A,CC,PP1,1,PP09AXPP1_4,29
9,PPXPP,Conspecific,Conspecific,PP,KZ,KZ,PP09A,CC,PP1,1,PP09AXPP1_5,29
9,PPXPP,Conspecific,Conspecific,PP,KZ,KZ,PP09A,CC,PP2,1,PP09AXPP2_4,29
9,PPXPP,Conspecific,Conspecific,PP,KZ,KZ,PP09A,CC,PP2,1,PP09AXPP2_6,28
9,PPXPP,Conspecific,Conspecific,PP,KZ,KZ,PP09A,CC,PP2,1,PP09AXPP2_2,28
9,PPXPP,Conspecific,Conspecific,PP,KZ,KZ,PP09A,CC,PP2,1,PP09AXPP2_3,26
9,PPXPP,Conspecific,Conspecific,PP,KZ,KZ,PP09A,CC,PP2,1,PP09AXPP2_1,25
9,PPXCC,Conspecific,Heterospecific,PP,SZ,SZ,PP09B,CC,CC2,1,PP09BXCC2_5,33
9,PPXCC,Conspecific,Heterospecific,PP,SZ,SZ,PP09B,CC,CC2,1,PP09BXCC2_6,32
9,PPXCC,Conspecific,Heterospecific,PP,SZ,SZ,PP09B,CC,CC1,0.90682496,PP09BXCC1_1,29
9,PPXCC,Conspecific,Heterospecific,PP,SZ,SZ,PP09B,CC,CC1,0.90682496,PP09BXCC1_5,29
9,PPXCC,Conspecific,Heterospecific,PP,SZ,SZ,PP09B,CC,CC1,0.90682496,PP09BXCC1_3,29
9,PPXCC,Conspecific,Heterospecific,PP,SZ,SZ,PP09B,CC,CC2,1,PP09BXCC2_2,25
9,PPXCC,Conspecific,Heterospecific,PP,SZ,SZ,PP09B,CC,CC1,0.90682496,PP09BXCC1_4,23
9,PPXCC,Conspecific,Heterospecific,PP,SZ,SZ,PP09B,CC,CC1,0.90682496,PP09BXCC1_2,20
9,PPXCC,Conspecific,Heterospecific,PP,SZ,SZ,PP09B,CC,CC2,1,PP09BXCC2_3,19
9,PPXCC,Conspecific,Heterospecific,PP,SZ,SZ,PP09B,CC,CC1,0.90682496,PP09BXCC1_6,17
9,PPXCC,Conspecific,Heterospecific,PP,SZ,SZ,PP09B,CC,CC2,1,PP09BXCC2_1,16
9,PPXCC,Conspecific,Heterospecific,PP,SZ,SZ,PP09B,CC,CC2,1,PP09BXCC2_4,13
9,PPXPP,Conspecific,Conspecific,PP,SZ,SZ,PP09B,CC,PP1,1,PP09BXPP1_6,35
9,PPXPP,Conspecific,Conspecific,PP,SZ,SZ,PP09B,CC,PP1,1,PP09BXPP1_3,33
9,PPXPP,Conspecific,Conspecific,PP,SZ,SZ,PP09B,CC,PP1,1,PP09BXPP1_4,32
9,PPXPP,Conspecific,Conspecific,PP,SZ,SZ,PP09B,CC,PP1,1,PP09BXPP1_2,29
9,PPXPP,Conspecific,Conspecific,PP,SZ,SZ,PP09B,CC,PP2,1,PP09BXPP2_6,29
9,PPXPP,Conspecific,Conspecific,PP,SZ,SZ,PP09B,CC,PP2,1,PP09BXPP2_2,28
9,PPXPP,Conspecific,Conspecific,PP,SZ,SZ,PP09B,CC,PP2,1,PP09BXPP2_3,28
9,PPXPP,Conspecific,Conspecific,PP,SZ,SZ,PP09B,CC,PP2,1,PP09BXPP2_1,27
9,PPXPP,Conspecific,Conspecific,PP,SZ,SZ,PP09B,CC,PP1,1,PP09BXPP1_5,27
9,PPXPP,Conspecific,Conspecific,PP,SZ,SZ,PP09B,CC,PP1,1,PP09BXPP1_1,27
9,PPXPP,Conspecific,Conspecific,PP,SZ,SZ,PP09B,CC,PP2,1,PP09BXPP2_4,25
9,PPXPP,Conspecific,Conspecific,PP,SZ,SZ,PP09B,CC,PP2,1,PP09BXPP2_5,20
9,CPXCC,Heterospecific,Het2,CP,RZ,SZ,CP09A,CC,CC1,0.90682496,CP09AXCC1_3,23
9,CPXCC,Heterospecific,Het2,CP,RZ,SZ,CP09A,CC,CC2,1,CP09AXCC2_6,21
9,CPXCC,Heterospecific,Het2,CP,RZ,SZ,CP09A,CC,CC1,0.90682496,CP09AXCC1_1,20
9,CPXCC,Heterospecific,Het2,CP,RZ,SZ,CP09A,CC,CC2,1,CP09AXCC2_4,20
9,CPXCC,Heterospecific,Het2,CP,RZ,SZ,CP09A,CC,CC1,0.90682496,CP09AXCC1_6,18
9,CPXCC,Heterospecific,Het2,CP,RZ,SZ,CP09A,CC,CC2,1,CP09AXCC2_1,18
9,CPXCC,Heterospecific,Het2,CP,RZ,SZ,CP09A,CC,CC1,0.90682496,CP09AXCC1_5,17
