Temperature,Cross,Cross_Region,Mother_Region,Father_Region,Cross_Population,Mother_Population,Father_Population,Cross_Line,Mother_Line,Father_Line,Cross_ID,Mother_ID,Father_ID,Plant_ID,Germination,Survival,Flowering,Leaves,Flowering_Time,Pollen_Total,Pollen_Viable,Event
9,Conspecific,CARXCAR,CAR ,CAR,1RZX1RZ,1RZ,1RZ,1RZ1X1RZ2,1RZ1,1RZ2,1RZ1_1X1RZ2_1,1RZ1_1,1RZ2_1,1RZ1_1X1RZ2_1_02,1,0,NA,NA,NA,NA,NA,NA
9,Conspecific,CARXCAR,CAR ,CAR,1RZX1RZ,1RZ,1RZ,1RZ1X1RZ3,1RZ1,1RZ3,1RZ1_2X1RZ3_1,1RZ1_2,1RZ3_1,1RZ1_2X1RZ3_1_05,1,0,NA,NA,NA,NA,NA,NA
9,Conspecific,CARXCAR,CAR ,CAR,1RZX1RZ,1RZ,1RZ,1RZ1X1RZ3,1RZ1,1RZ3,1RZ1_2X1RZ3_1,1RZ1_2,1RZ3_1,1RZ1_2X1RZ3_1_06,1,0,NA,NA,NA,NA,NA,NA
9,Conspecific,CARXCAR,CAR ,CAR,1RZX2SN,1RZ,2SN,1RZ1X2SN1,1RZ1,2SN1,1RZ1_1X2SN1_1,1RZ1_1,2SN1_1,1RZ1_1X2SN1_1_06,1,0,NA,NA,NA,NA,NA,NA
9,Conspecific,CARXCAR,CAR ,CAR,1RZX2SN,1RZ,2SN,1RZ1X2SN1,1RZ1,2SN1,1RZ1_1X2SN1_1,1RZ1_1,2SN1_1,1RZ1_1X2SN1_1_07,1,0,NA,NA,NA,NA,NA,NA
9,Conspecific,CARXCAR,CAR ,CAR,1RZX2SN,1RZ,2SN,1RZ1X2SN1,1RZ1,2SN1,1RZ1_1X2SN1_1,1RZ1_1,2SN1_1,1RZ1_1X2SN1_1_08,1,0,NA,NA,NA,NA,NA,NA
9,Conspecific,CARXCAR,CAR ,CAR,1RZX2SN,1RZ,2SN,1RZ1X2SN1,1RZ1,2SN1,1RZ1_1X2SN1_1,1RZ1_1,2SN1_1,1RZ1_1X2SN1_1_09,1,0,NA,NA,NA,NA,NA,NA
9,Conspecific,CARXCAR,CAR ,CAR,1RZX2SN,1RZ,2SN,1RZ1X2SN2,1RZ1,2SN2,1RZ1_2X2SN2_1,1RZ1_2,2SN2_1,1RZ1_2X2SN2_1_07,1,0,NA,NA,NA,NA,NA,NA
9,Conspecific,CARXCAR,CAR ,CAR,1RZX2SN,1RZ,2SN,1RZ1X2SN2,1RZ1,2SN2,1RZ1_2X2SN2_1,1RZ1_2,2SN2_1,1RZ1_2X2SN2_1_08,1,0,NA,NA,NA,NA,NA,NA
9,Conspecific,CARXCAR,CAR ,CAR,1RZX2SN,1RZ,2SN,1RZ1X2SN2,1RZ1,2SN2,1RZ1_2X2SN2_1,1RZ1_2,2SN2_1,1RZ1_2X2SN2_1_09,1,0,NA,NA,NA,NA,NA,NA
